 rcv	         0	   SYN	  999	0
rdrp	      0.17	   ACK	 1000	0
rdrp	      1.09	   ACK	 1000	0
rdrp	      1.18	   ACK	 1000	0
rdrp	      1.28	   ACK	 1000	0
rdrp	      1.37	   ACK	 1000	0
rdrp	      1.46	   ACK	 1000	0
 snd	      1.56	   ACK	 1000	0
fdrp	      4.12	  DATA	 1000	1000
fdrp	      5.34	  DATA	 2000	1000
 rcv	      5.60	  DATA	 3000	1000
 snd	      5.70	   ACK	 1000	0
fdrp	      5.80	  DATA	 4000	1000
 rcv	      5.90	  DATA	 5000	1000
 snd	      5.98	   ACK	 1000	0
fdrp	      6.07	  DATA	 6000	1000
fdrp	      6.16	  DATA	 7000	1000
fdrp	    404.24	  DATA	 1000	1000
fdrp	    405.24	  DATA	 2000	1000
fdrp	    405.50	  DATA	 3000	1000
fdrp	    405.70	  DATA	 4000	1000
 drp	    405.91	  DATA	 5000	1000
 snd	    406.41	   ACK	 1000	0
 rcv	    406.94	  DATA	 6000	1000
 snd	    407.09	   ACK	 1000	0
fdrp	    407.24	  DATA	 7000	1000
 rcv	    435.24	  DATA	 4000	1000
rdrp	    435.97	   ACK	 1000	0
 rcv	    436.26	  DATA	 1000	1000
rdrp	    436.43	   ACK	 2000	0
 rcv	    436.59	  DATA	 2000	1000
 snd	    436.74	   ACK	 7000	0
fdrp	    436.90	  DATA	 3000	1000
fdrp	    437.44	  DATA	 4000	1000
 drp	    437.57	  DATA	 5000	1000
 snd	    437.81	   ACK	 7000	0
 drp	    438.10	  DATA	 6000	1000
 snd	    438.25	   ACK	 7000	0
fdrp	    438.40	  DATA	 7000	1000
fdrp	    438.80	  DATA	 1000	1000
fdrp	    438.91	  DATA	 2000	1000
fdrp	    438.98	  DATA	 3000	1000
fdrp	    439.05	  DATA	 4000	1000
 drp	    439.12	  DATA	 5000	1000
 snd	    439.18	   ACK	 7000	0
fdrp	    439.25	  DATA	 6000	1000
 rcv	    439.31	  DATA	 7000	1000
rdrp	    439.37	   ACK	 8000	0
fdrp	    439.43	  DATA	 1000	1000
 drp	    439.50	  DATA	 2000	1000
rdrp	    439.56	   ACK	 8000	0
fdrp	    439.63	  DATA	 3000	1000
 drp	    439.70	  DATA	 4000	1000
rdrp	    439.75	   ACK	 8000	0
fdrp	    439.82	  DATA	 5000	1000
fdrp	    439.88	  DATA	 6000	1000
 drp	    439.96	  DATA	 7000	1000
 snd	    440.02	   ACK	 8000	0
 drp	    440.09	  DATA	 1000	1000
rdrp	    440.15	   ACK	 8000	0
fdrp	    440.21	  DATA	 2000	1000
 drp	    440.42	  DATA	 3000	1000
 snd	    440.71	   ACK	 8000	0
 drp	    440.83	  DATA	 4000	1000
rdrp	    440.90	   ACK	 8000	0
 drp	    440.97	  DATA	 5000	1000
rdrp	    441.02	   ACK	 8000	0
 drp	    441.08	  DATA	 6000	1000
 snd	    441.14	   ACK	 8000	0
 drp	    441.22	  DATA	 7000	1000
 snd	    441.27	   ACK	 8000	0
fdrp	    441.34	  DATA	 1000	1000
fdrp	    441.40	  DATA	 2000	1000
fdrp	    441.46	  DATA	 3000	1000
 drp	    441.53	  DATA	 4000	1000
 snd	    441.58	   ACK	 8000	0
fdrp	    441.64	  DATA	 5000	1000
fdrp	    441.70	  DATA	 6000	1000
fdrp	    441.75	  DATA	 7000	1000
fdrp	    441.81	  DATA	 1000	1000
fdrp	    441.87	  DATA	 2000	1000
 drp	    441.93	  DATA	 3000	1000
 snd	    441.98	   ACK	 8000	0
fdrp	    442.04	  DATA	 4000	1000
 drp	    442.13	  DATA	 5000	1000
rdrp	    442.19	   ACK	 8000	0
fdrp	    442.25	  DATA	 6000	1000
 drp	    442.31	  DATA	 7000	1000
 snd	    442.36	   ACK	 8000	0
fdrp	    442.43	  DATA	 1000	1000
 drp	    442.50	  DATA	 2000	1000
rdrp	    442.55	   ACK	 8000	0
 drp	    442.61	  DATA	 3000	1000
 snd	    442.66	   ACK	 8000	0
fdrp	    442.72	  DATA	 4000	1000
fdrp	    442.78	  DATA	 5000	1000
fdrp	    442.84	  DATA	 6000	1000
fdrp	    442.90	  DATA	 7000	1000
 rcv	    442.95	  DATA	 8000	1000
 snd	    443.01	   ACK	 9000	0
fdrp	    443.07	  DATA	 9000	1000
fdrp	    443.12	  DATA	10000	1000
fdrp	    443.18	  DATA	11000	1000
fdrp	    443.32	  DATA	12000	1000
fdrp	    443.38	  DATA	13000	1000
fdrp	    443.43	  DATA	 7000	1000
 drp	    443.49	  DATA	 8000	1000
 snd	    443.53	   ACK	 9000	0
 rcv	    443.60	  DATA	 9000	1000
rdrp	    443.65	   ACK	10000	0
 rcv	    444.79	  DATA	10000	1000
 snd	    444.92	   ACK	11000	0
 rcv	    445.06	  DATA	11000	1000
rdrp	    445.16	   ACK	12000	0
fdrp	    445.26	  DATA	12000	1000
fdrp	    445.36	  DATA	13000	1000
fdrp	    445.45	  DATA	 7000	1000
fdrp	    445.55	  DATA	 8000	1000
 drp	    445.70	  DATA	 9000	1000
rdrp	    445.81	   ACK	12000	0
fdrp	    445.90	  DATA	10000	1000
 drp	    446.00	  DATA	11000	1000
rdrp	    446.09	   ACK	12000	0
 rcv	    446.19	  DATA	12000	1000
rdrp	    446.28	   ACK	13000	0
fdrp	    446.39	  DATA	13000	1000
fdrp	    446.57	  DATA	 8000	1000
fdrp	    446.70	  DATA	 9000	1000
fdrp	    446.82	  DATA	 8000	1000
 drp	    446.95	  DATA	 9000	1000
 snd	    447.04	   ACK	13000	0
 drp	    447.16	  DATA	10000	1000
rdrp	    448.01	   ACK	13000	0
fdrp	    448.14	  DATA	 8000	1000
fdrp	    448.25	  DATA	 9000	1000
 drp	    448.35	  DATA	10000	1000
 snd	    448.44	   ACK	13000	0
fdrp	    448.55	  DATA	11000	1000
fdrp	    448.65	  DATA	12000	1000
 rcv	    448.75	  DATA	13000	1000
 snd	    448.84	   ACK	14000	0
 rcv	    448.95	  DATA	14000	1000
 snd	    449.03	   ACK	15000	0
 drp	    449.14	  DATA	 8000	1000
 snd	    449.23	   ACK	15000	0
 drp	    449.33	  DATA	 9000	1000
rdrp	    449.42	   ACK	15000	0
 drp	    449.53	  DATA	10000	1000
rdrp	    449.61	   ACK	15000	0
 drp	    449.80	  DATA	11000	1000
rdrp	    449.89	   ACK	15000	0
fdrp	    449.99	  DATA	12000	1000
 drp	    450.09	  DATA	13000	1000
rdrp	    450.18	   ACK	15000	0
 drp	    450.28	  DATA	14000	1000
 snd	    450.36	   ACK	15000	0
fdrp	    450.48	  DATA	 8000	1000
 drp	    450.63	  DATA	 9000	1000
rdrp	    450.72	   ACK	15000	0
fdrp	    450.87	  DATA	10000	1000
fdrp	    451.61	  DATA	11000	1000
 drp	    451.74	  DATA	12000	1000
 snd	    451.82	   ACK	15000	0
 drp	    452.01	  DATA	13000	1000
 snd	    452.11	   ACK	15000	0
 drp	    452.32	  DATA	14000	1000
rdrp	    452.41	   ACK	15000	0
fdrp	    452.55	  DATA	 8000	1000
fdrp	    452.66	  DATA	 9000	1000
 drp	    452.77	  DATA	 8000	1000
 snd	    452.88	   ACK	15000	0
fdrp	    453.01	  DATA	15000	1000
 rcv	    453.21	  DATA	16000	1000
 snd	    453.29	   ACK	15000	0
 rcv	    453.39	  DATA	17000	1000
rdrp	    453.47	   ACK	15000	0
 rcv	    453.58	  DATA	18000	1000
rdrp	    453.78	   ACK	15000	0
 rcv	    454.00	  DATA	19000	1000
 snd	    454.20	   ACK	15000	0
 rcv	    454.27	  DATA	20000	1000
rdrp	    454.32	   ACK	15000	0
fdrp	    454.37	  DATA	21000	1000
fdrp	    454.41	  DATA	15000	1000
 drp	    454.47	  DATA	16000	1000
rdrp	    454.51	   ACK	15000	0
 drp	    454.55	  DATA	17000	1000
 snd	    454.60	   ACK	15000	0
 drp	    454.65	  DATA	18000	1000
rdrp	    454.69	   ACK	15000	0
fdrp	    454.74	  DATA	19000	1000
 drp	    454.79	  DATA	20000	1000
 snd	    454.83	   ACK	15000	0
fdrp	    454.89	  DATA	21000	1000
 rcv	    454.93	  DATA	15000	1000
 snd	    454.98	   ACK	21000	0
 drp	    455.03	  DATA	16000	1000
 snd	    455.07	   ACK	21000	0
fdrp	    455.11	  DATA	17000	1000
fdrp	    455.16	  DATA	18000	1000
