 snd	         0	   SYN	  999	0
 rcv	      8.76	   ACK	 1000	0
 snd	     10.60	  DATA	 1000	1000
 snd	     11.85	  DATA	 2000	1000
 snd	     12.00	  DATA	 3000	1000
 snd	     12.13	  DATA	 4000	1000
 snd	     12.27	  DATA	 5000	1000
 snd	     12.40	  DATA	 6000	1000
 snd	     12.53	  DATA	 7000	1000
 rcv	     12.58	   ACK	 1000	0
 rcv	     13.19	   ACK	 1000	0
 snd	    410.65	  DATA	 1000	1000
 snd	    411.86	  DATA	 2000	1000
 snd	    412.14	  DATA	 3000	1000
 snd	    412.35	  DATA	 4000	1000
 snd	    412.56	  DATA	 5000	1000
 snd	    412.76	  DATA	 6000	1000
 snd	    412.95	  DATA	 7000	1000
 rcv	    413.76	   ACK	 1000	0
 rcv	    414.04	   ACK	 1000	0
 snd	    441.70	  DATA	 4000	1000
 snd	    441.94	  DATA	 1000	1000
 snd	    442.05	  DATA	 2000	1000
 snd	    442.15	  DATA	 3000	1000
 snd	    442.23	  DATA	 4000	1000
 snd	    442.30	  DATA	 5000	1000
 snd	    442.37	  DATA	 6000	1000
 snd	    442.44	  DATA	 7000	1000
 snd	    442.51	  DATA	 1000	1000
 snd	    442.59	  DATA	 2000	1000
 snd	    442.66	  DATA	 3000	1000
 snd	    442.73	  DATA	 4000	1000
 snd	    442.80	  DATA	 5000	1000
 snd	    442.88	  DATA	 6000	1000
 snd	    442.95	  DATA	 7000	1000
 snd	    443.02	  DATA	 1000	1000
 snd	    443.09	  DATA	 2000	1000
 snd	    443.15	  DATA	 3000	1000
 snd	    443.21	  DATA	 4000	1000
 snd	    443.28	  DATA	 5000	1000
 snd	    443.34	  DATA	 6000	1000
 snd	    443.41	  DATA	 7000	1000
 snd	    443.47	  DATA	 1000	1000
 snd	    443.54	  DATA	 2000	1000
 snd	    443.60	  DATA	 3000	1000
 snd	    443.66	  DATA	 4000	1000
 snd	    443.72	  DATA	 5000	1000
 snd	    443.78	  DATA	 6000	1000
 snd	    443.84	  DATA	 7000	1000
 snd	    443.89	  DATA	 1000	1000
 snd	    443.95	  DATA	 2000	1000
 snd	    444.01	  DATA	 3000	1000
 snd	    444.06	  DATA	 4000	1000
 snd	    444.12	  DATA	 5000	1000
 snd	    444.18	  DATA	 6000	1000
 snd	    444.24	  DATA	 7000	1000
 snd	    444.29	  DATA	 1000	1000
 snd	    444.35	  DATA	 2000	1000
 snd	    444.41	  DATA	 3000	1000
 snd	    444.47	  DATA	 4000	1000
 snd	    444.52	  DATA	 5000	1000
 snd	    444.58	  DATA	 6000	1000
 snd	    444.64	  DATA	 7000	1000
 snd	    444.70	  DATA	 1000	1000
 snd	    444.77	  DATA	 2000	1000
 snd	    444.84	  DATA	 3000	1000
 snd	    444.89	  DATA	 4000	1000
 snd	    444.95	  DATA	 5000	1000
 rcv	    444.90	   ACK	 7000	0
 snd	    445.02	  DATA	 6000	1000
 snd	    446.17	  DATA	 7000	1000
 snd	    446.39	  DATA	 8000	1000
 snd	    446.58	  DATA	 9000	1000
 snd	    446.80	  DATA	10000	1000
 snd	    446.93	  DATA	11000	1000
 snd	    447.60	  DATA	12000	1000
 snd	    447.75	  DATA	13000	1000
 snd	    448.32	  DATA	 7000	1000
 snd	    448.46	  DATA	 8000	1000
 snd	    448.77	  DATA	 9000	1000
 snd	    449.37	  DATA	10000	1000
 snd	    449.51	  DATA	11000	1000
