 snd	         0	   SYN	 4721	0
 rcv	      4.51	   ACK	 4722	0
 snd	      5.95	  DATA	 4722	1000
 snd	      9.02	  DATA	 5722	1000
 snd	      9.15	  DATA	 6722	1000
 snd	    205.98	  DATA	 4722	1000
 snd	    209.03	  DATA	 5722	1000
 snd	    209.36	  DATA	 6722	1000
 rcv	    210.51	   ACK	 4722	0
 snd	    213.58	  DATA	 7722	1000
 snd	    213.96	  DATA	 8722	1000
 snd	    214.28	  DATA	 9722	1000
 rcv	    216.47	   ACK	 4722	0
 snd	    216.77	  DATA	10722	1000
 snd	    216.88	  DATA	11722	1000
 snd	    216.95	  DATA	12722	1000
 rcv	    218.50	   ACK	 4722	0
 snd	    218.64	  DATA	13722	1000
 snd	    218.76	  DATA	14722	1000
 snd	    218.84	  DATA	15722	1000
 snd	    418.65	  DATA	13722	1000
 snd	    418.89	  DATA	14722	1000
 snd	    418.97	  DATA	15722	1000
 snd	    618.66	  DATA	13722	1000
 snd	    618.90	  DATA	14722	1000
 snd	    618.99	  DATA	15722	1000
 rcv	    619.49	   ACK	 4722	0
 snd	    619.70	  DATA	16722	1000
 snd	    619.81	  DATA	17722	1000
 snd	    619.87	  DATA	18722	1000
 rcv	    620.04	   ACK	 4722	0
 rcv	    620.24	   ACK	 4722	0
 snd	    622.57	  DATA	20722	1000
 snd	    622.84	  DATA	21722	1000
 snd	    622.91	  DATA	22722	1000
 rcv	    623.59	   ACK	 4722	0
 snd	    623.91	  DATA	23722	1000
 snd	    624.00	  DATA	24722	611
 rcv	    624.43	   ACK	 4722	0
 snd	    624.61	   FIN	25333	0
 snd	    825.04	   FIN	25333	0
 snd	   1026.60	   FIN	25333	0
 snd	   1232.05	 RESET	    0	0
Amount of (original) Data Transferred (in bytes): 48222
Number of Data Segments Sent (excluding retransmissions): 49
Number of Retransmitted Data Segments: 12
Number of Duplicate Acknowledgements received: 0
